order,family,augustus_model
Diplura,,frankliniella_occidentalis
Archaeognatha,,frankliniella_occidentalis
Odonata,,zootermopsis_nevadensis
Ephemeroptera,,frankliniella_occidentalis
Plecoptera,,zootermopsis_nevadensis
Orthoptera,,zootermopsis_nevadensis
Phasmatodea,,zootermopsis_nevadensis
Blattodea,,zootermopsis_nevadensis
Thysanoptera,,frankliniella_occidentalis
Hemiptera,,bemisia_tabaci
Phtiraptera,,pediculus_humanus
Hymenoptera,,apis_mellifera
Strepsiptera,,tribolium_castaneum
Coleoptera,,tribolium_castaneum
Trichoptera,,papilio_xuthus
Lepidoptera,,papilio_xuthus
Siphonaptera,,ctenophalides_felis
Diptera,Culicidae,nasonia
Diptera,Pteromalidae,aedes
Diptera,Other,fly
